id,overdue,s_qq_first,qq_len,wechat_is_phone,alipay_is_phone,wechat_is_email,alipay_is_email,has_first_tel,has_second_tel,has_third_tel,baidu_phone_title_times,baidu_phone_content_times,baidu_phone_page_times,baidu_phone_pages_count,baidu_first_tel_title_times,baidu_first_tel_content_times,baidu_first_tel_page_times,baidu_first_tel_pages_count,baidu_second_tel_title_times,baidu_second_tel_content_times,baidu_second_tel_page_times,baidu_second_tel_pages_count,has_baidu_phone_user_mark_times,has_baidu_first_tel_user_mark_times,has_baidu_second_tel_user_mark_times,baidu_phone_title_page_times_odds,baidu_phone_content_page_times_odds,baidu_phone_title_times_page_counts_odds,baidu_phone_content_times_page_counts_odds,baidu_phone_page_times_counts_odds,baidu_first_tel_title_page_odds,baidu_first_tel_content_page_odds,baidu_first_tel_title_times_page_counts_odds,baidu_first_tel_content_times_page_counts_odds,baidu_first_tel_page_times_counts_odds,baidu_second_tel_title_page_odds,baidu_second_tel_content_page_odds,baidu_second_tel_title_times_page_counts_odds,baidu_second_tel_content_times_page_counts_odds,baidu_second_tel_page_times_counts_odds
106584,0,c_3,c_9.0,0,1,0,0,1,1,0,1,3,4,3,1.0,2.0,3.0,2.0,1.0,7.0,8.0,3.0,0,0,0,0.25,0.75,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665
106594,0,c_6,c_9.0,1,1,0,0,1,1,0,1,2,3,2,1.0,3.0,4.0,2.0,1.0,6.0,7.0,4.0,0,0,0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.25,0.75,0.5,1.5,2.0,0.14285714285714285,0.8571428571428571,0.25,1.5,1.75
106600,1,c_3,c_9.0,0,1,0,0,1,1,0,1,8,9,5,1.0,7.0,8.0,2.0,1.0,6.0,7.0,2.0,0,0,0,0.1111111111111111,0.8888888888888888,0.2,1.6,1.8,0.125,0.875,0.5,3.5,4.0,0.14285714285714285,0.8571428571428571,0.5,3.0,3.5
106605,1,c_1,c_9.0,1,1,0,0,1,1,0,1,3,4,3,1.0,5.0,6.0,2.0,1.0,6.0,7.0,3.0,0,0,0,0.25,0.75,0.3333333333333333,1.0,1.3333333333333333,0.16666666666666666,0.8333333333333334,0.5,2.5,3.0,0.14285714285714285,0.8571428571428571,0.3333333333333333,2.0,2.3333333333333335
106612,0,c_5,c_9.0,1,1,0,0,1,1,0,1,2,3,3,1.0,2.0,3.0,2.0,1.0,4.0,5.0,2.0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.2,0.8,0.5,2.0,2.5
106613,0,c_2,c_9.0,1,0,0,1,1,1,0,1,6,7,3,1.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,0,0,0,0.14285714285714285,0.8571428571428571,0.3333333333333333,2.0,2.3333333333333335,0.2,0.8,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.2,0.8,0.3333333333333333,1.3333333333333333,1.6666666666666667
106621,0,c_2,c_9.0,0,1,0,0,1,1,0,1,9,10,2,1.0,6.0,7.0,3.0,1.0,9.0,10.0,2.0,0,0,0,0.1,0.9,0.5,4.5,5.0,0.14285714285714285,0.8571428571428571,0.3333333333333333,2.0,2.3333333333333335,0.1,0.9,0.5,4.5,5.0
106629,1,c_7,c_9.0,0,1,0,0,1,1,0,1,9,10,2,2.0,6.0,8.0,3.0,1.0,2.0,3.0,4.0,0,0,0,0.1,0.9,0.5,4.5,5.0,0.25,0.75,0.6666666666666666,2.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.25,0.5,0.75
106631,0,c_5,c_9.0,1,1,0,0,1,1,0,1,7,8,2,1.0,5.0,6.0,3.0,1.0,7.0,8.0,2.0,0,0,0,0.125,0.875,0.5,3.5,4.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0,0.125,0.875,0.5,3.5,4.0
106632,0,c_5,c_9.0,0,1,0,0,1,1,0,1,5,6,3,1.0,7.0,8.0,3.0,1.0,3.0,4.0,2.0,0,0,0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.25,0.75,0.5,1.5,2.0
106637,0,c_1,c_9.0,0,1,0,0,1,1,0,1,3,4,3,1.0,2.0,3.0,3.0,1.0,6.0,7.0,4.0,0,0,0,0.25,0.75,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.14285714285714285,0.8571428571428571,0.25,1.5,1.75
106638,0,c_7,c_9.0,1,1,0,0,1,1,0,1,4,5,3,1.0,2.0,3.0,2.0,1.0,6.0,7.0,4.0,0,0,0,0.2,0.8,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.14285714285714285,0.8571428571428571,0.25,1.5,1.75
106639,0,c_2,c_9.0,1,1,0,0,1,1,0,1,2,3,3,1.0,7.0,8.0,2.0,1.0,5.0,6.0,2.0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.125,0.875,0.5,3.5,4.0,0.16666666666666666,0.8333333333333334,0.5,2.5,3.0
106643,1,c_2,c_9.0,0,0,0,0,1,1,0,1,9,10,4,1.0,7.0,8.0,3.0,1.0,9.0,10.0,4.0,0,0,0,0.1,0.9,0.25,2.25,2.5,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.1,0.9,0.25,2.25,2.5
106644,0,c_2,c_10.0,0,1,0,0,1,1,0,1,3,4,3,1.0,7.0,8.0,2.0,1.0,5.0,6.0,3.0,0,0,0,0.25,0.75,0.3333333333333333,1.0,1.3333333333333333,0.125,0.875,0.5,3.5,4.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0
106649,0,c_1,c_10.0,0,1,0,0,1,1,0,1,8,9,2,1.0,8.0,9.0,4.0,1.0,3.0,4.0,2.0,0,0,0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5,0.1111111111111111,0.8888888888888888,0.25,2.0,2.25,0.25,0.75,0.5,1.5,2.0
106651,1,c_3,c_9.0,0,0,0,1,1,1,0,3,6,9,3,1.0,4.0,5.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0.3333333333333333,0.6666666666666666,1.0,2.0,3.0,0.2,0.8,0.5,2.0,2.5,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106654,0,c_3,c_9.0,0,1,0,0,1,1,0,1,7,8,3,1.0,5.0,6.0,5.0,1.0,7.0,8.0,3.0,0,0,0,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.16666666666666666,0.8333333333333334,0.2,1.0,1.2,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665
